"1. Popolazione analizzata"
"";""
"Numero di laureati";"56"
"Numero di intervistati";"41"
"Tasso di risposta sul totale dei laureati ";"73,2"
"Tasso di risposta sui laureati contattabili ";"80,4"
"Genere (%)";" "
"Uomini";"89,3"
"Donne";"10,7"
"Età alla laurea (medie, in anni) ";"24,5"
"Voto di laurea (medie, in 110-mi) ";"95,2"
"Durata degli studi (medie, in anni) ";"4,6"
"Indice di ritardo ";"0,55"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";" "
"Si sono iscritti ad un corso di laurea di secondo livello ";"58,5"
"Sono attualmente iscritti";"58,5"
"Si sono iscritti ad un corso di laurea di primo livello ";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"41,5"
"Motivi della non iscrizione ad un altro corso di laurea (%)";" "
"Motivi lavorativi ";"58,8"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"-"
"Non interessati perché intenzionati a frequentare altra formazione post-laurea";"-"
"Non interessati per altri motivi";"35,3"
"Motivi personali";"5,9"
"Altro motivo ";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%) ";" "
"Per migliorare la propria formazione culturale";"33,3"
"Per migliorare le possibilità di trovare lavoro";"20,8"
"Perché è necessaria per trovare lavoro";"16,7"
"Perché hanno cercato lavoro ma non l'hanno trovato";"4,2"
"Per migliorare le condizioni dell'attuale lavoro";"25,0"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";" "
"Rappresenta il proseguimento 'naturale'";"87,5"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"12,5"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"83,3"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"7,9"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"29,3"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" "
"Collaborazione volontaria";"4,9"
"Tirocinio/praticantato";"2,4"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"-"
"Altro tipo di master";"2,4"
"Stage in azienda";"14,6"
"Corso di formazione professionale";"7,3"
"Attività sostenuta da borsa di studio";"2,4"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%) ";" "
"Lavorano e non sono iscritti ad una laurea di secondo livello";"39,0"
"Lavorano e sono iscritti ad una laurea di secondo livello";"22,0"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"36,6"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"-"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"2,4"
"Condizione occupazionale (%) ";" "
"Lavorano";"61,0"
"Non lavorano e non cercano";"36,6"
"Non lavorano ma cercano";"2,4"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"36,6"
"Esperienze di lavoro post-laurea (%)";" "
"Non lavorano ma hanno lavorato dopo la laurea";"7,3"
"Non hanno mai lavorato dopo la laurea";"31,7"
"Tasso di occupazione ";" "
"Uomini";"62,2"
"Donne";"75,0"
"Totale";"63,4"
"Tasso di disoccupazione ";"-"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"25"
"Occupati: condizione occupazionale alla laurea (%)";" "
"Proseguono il lavoro iniziato prima della laurea";"28,0"
"Non proseguono il lavoro iniziato prima della laurea";"8,0"
"Hanno iniziato a lavorare dopo la laurea";"64,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,6"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"1,4"
"Tempo dalla laurea al reperimento del primo lavoro";"1,9"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%) ";" "
"Imprenditori, legislatori e alta dirigenza";"4,0"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"36,0"
"Professioni tecniche";"52,0"
"Professioni esecutive nel lavoro d'ufficio";"4,0"
"Altre professioni ";"4,0"
"Tipologia dell'attività lavorativa (%)";" "
"Autonomo ";"12,0"
"Tempo indeterminato ";"36,0"
"Contratti formativi ";"40,0"
"Non standard ";"8,0"
"Assegno di ricerca";"-"
"Parasubordinato ";"-"
"Altro autonomo ";"-"
"Senza contratto";"-"
