"1. Popolazione analizzata"
"";""
"Numero di laureati";"120"
"Numero di intervistati";"86"
"Tasso di risposta sul totale dei laureati ";"71,7"
"Tasso di risposta sui laureati contattabili ";"81,1"
"Genere (%)";" "
"Uomini";"86,7"
"Donne";"13,3"
"Età alla laurea (medie, in anni) ";"25,4"
"Voto di laurea (medie, in 110-mi) ";"99,4"
"Durata degli studi (medie, in anni) ";"5,1"
"Indice di ritardo ";"0,69"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";" "
"Si sono iscritti ad un corso di laurea di secondo livello ";"62,8"
"Sono attualmente iscritti";"62,8"
"Si sono iscritti ad un corso di laurea di primo livello ";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"37,2"
"Motivi della non iscrizione ad un altro corso di laurea (%)";" "
"Motivi lavorativi ";"71,9"
"Mancanza di un corso nell’area disciplinare di interesse";"-"
"Motivi economici";"3,1"
"Non interessati perché intenzionati a frequentare altra formazione post-laurea";"18,8"
"Non interessati per altri motivi";"6,3"
"Motivi personali";"-"
"Altro motivo ";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%) ";" "
"Per migliorare la propria formazione culturale";"42,6"
"Per migliorare le possibilità di trovare lavoro";"38,9"
"Perché è necessaria per trovare lavoro";"7,4"
"Perché hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"11,1"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";" "
"Rappresenta il proseguimento 'naturale'";"79,6"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"20,4"
"Rientra in un settore disciplinare diverso";"-"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"81,5"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,4"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"19,8"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" "
"Collaborazione volontaria";"3,5"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"1,2"
"Master universitario di primo livello";"3,5"
"Altro tipo di master";"2,3"
"Stage in azienda";"10,5"
"Corso di formazione professionale";"4,7"
"Attività sostenuta da borsa di studio";"1,2"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%) ";" "
"Lavorano e non sono iscritti ad una laurea di secondo livello";"29,1"
"Lavorano e sono iscritti ad una laurea di secondo livello";"19,8"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"43,0"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"4,7"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"3,5"
"Condizione occupazionale (%) ";" "
"Lavorano";"48,8"
"Non lavorano e non cercano";"46,5"
"Non lavorano ma cercano";"4,7"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"43,0"
"Esperienze di lavoro post-laurea (%)";" "
"Non lavorano ma hanno lavorato dopo la laurea";"8,1"
"Non hanno mai lavorato dopo la laurea";"43,0"
"Tasso di occupazione ";" "
"Uomini";"52,6"
"Donne";"50,0"
"Totale";"52,3"
"Tasso di disoccupazione ";"6,3"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"42"
"Occupati: condizione occupazionale alla laurea (%)";" "
"Proseguono il lavoro iniziato prima della laurea";"38,1"
"Non proseguono il lavoro iniziato prima della laurea";"16,7"
"Hanno iniziato a lavorare dopo la laurea";"45,2"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,8"
