"1. Popolazione analizzata"
"";""
"Numero di laureati";"79"
"Numero di intervistati";"47"
"Tasso di risposta sul totale dei laureati ";"59,5"
"Tasso di risposta sui laureati contattabili ";"75,8"
"Genere (%)";" "
"Uomini";"88,6"
"Donne";"11,4"
"Età alla laurea (medie, in anni) ";"24,2"
"Voto di laurea (medie, in 110-mi) ";"95,7"
"Durata degli studi (medie, in anni) ";"4,4"
"Indice di ritardo ";"0,47"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";" "
"Si sono iscritti ad un corso di laurea di secondo livello ";"55,3"
"Sono attualmente iscritti";"51,1"
"Si sono iscritti ad un corso di laurea di primo livello ";"-"
"Sono attualmente iscritti";"-"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"44,7"
"Motivi della non iscrizione ad un altro corso di laurea (%)";" "
"Motivi lavorativi ";"61,9"
"Mancanza di un corso nell’area disciplinare di interesse";"9,5"
"Motivi economici";"4,8"
"Non interessati perché intenzionati a frequentare altra formazione post-laurea";"4,8"
"Non interessati per altri motivi";"19,0"
"Motivi personali";"-"
"Altro motivo ";"-"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%) ";" "
"Per migliorare la propria formazione culturale";"34,6"
"Per migliorare le possibilità di trovare lavoro";"34,6"
"Perché è necessaria per trovare lavoro";"3,8"
"Perché hanno cercato lavoro ma non l'hanno trovato";"-"
"Per migliorare le condizioni dell'attuale lavoro";"26,9"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";" "
"Rappresenta il proseguimento 'naturale'";"88,5"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"7,7"
"Rientra in un settore disciplinare diverso";"3,8"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"95,8"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"7,5"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"31,9"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" "
"Collaborazione volontaria";"6,4"
"Tirocinio/praticantato";"-"
"Scuola di specializzazione";"-"
"Master universitario di primo livello";"2,1"
"Altro tipo di master";"2,1"
"Stage in azienda";"23,4"
"Corso di formazione professionale";"2,1"
"Attività sostenuta da borsa di studio";"2,1"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%) ";" "
"Lavorano e non sono iscritti ad una laurea di secondo livello";"44,7"
"Lavorano e sono iscritti ad una laurea di secondo livello";"17,0"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"34,0"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"4,3"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"-"
"Condizione occupazionale (%) ";" "
"Lavorano";"61,7"
"Non lavorano e non cercano";"36,2"
"Non lavorano ma cercano";"2,1"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"31,9"
"Esperienze di lavoro post-laurea (%)";" "
"Non lavorano ma hanno lavorato dopo la laurea";"10,6"
"Non hanno mai lavorato dopo la laurea";"27,7"
"Tasso di occupazione ";" "
"Uomini";"66,7"
"Donne";"40,0"
"Totale";"63,8"
"Tasso di disoccupazione ";"3,2"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"29"
"Occupati: condizione occupazionale alla laurea (%)";" "
"Proseguono il lavoro iniziato prima della laurea";"37,9"
"Non proseguono il lavoro iniziato prima della laurea";"17,2"
"Hanno iniziato a lavorare dopo la laurea";"44,8"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,5"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"1,8"
"Tempo dalla laurea al reperimento del primo lavoro";"2,1"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%) ";" "
"Imprenditori, legislatori e alta dirigenza";"3,6"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"50,0"
"Professioni tecniche";"39,3"
"Professioni esecutive nel lavoro d'ufficio";"3,6"
"Altre professioni ";"3,6"
"Tipologia dell'attività lavorativa (%)";" "
"Autonomo ";"6,9"
"Tempo indeterminato ";"48,3"
"Contratti formativi ";"31,0"
"Non standard ";"10,3"
"Assegno di ricerca";"-"
"Parasubordinato ";"-"
"Altro autonomo ";"3,4"
"Senza contratto";"-"
"Diffusione del part-time (%)";"13,8"
"Numero di ore settimanali di lavoro (medie) ";"39,9"
"6. Caratteristiche dell'azienda"
"";""
"Settore di attività (%)";" "
"Pubblico";"3,4"
"Privato";"96,6"
"Non profit";"-"
"Ramo di attività economica (%)";" "
"Agricoltura";"-"
"Metalmeccanica e meccanica di precisione";"3,4"
"Edilizia ";"-"
"Chimica/Energia ";"3,4"
"Altra industria manifatturiera ";"13,8"
"Totale industria";"20,7"
"Commercio ";"3,4"
"Credito, assicurazioni";"10,3"
"Trasporti, pubblicità, comunicazioni ";"3,4"
"Consulenze varie ";"10,3"
"Informatica";"48,3"
"Altri servizi alle imprese";"3,4"
"Pubblica amministrazione, forze armate";"-"
"Istruzione e ricerca ";"-"
"Sanità";"-"
"Altri servizi ";"-"
"Totale servizi";"79,3"
"Area geografica di lavoro (%)";" "
"Nord-Ovest";"100,0"
"Nord-Est";"-"
"Centro";"-"
"Sud";"-"
"Isole";"-"
"Estero";"-"
"7. Retribuzione"
"";""
"Retribuzione mensile netta (medie, in euro) ";" "
"Uomini";"1350"
"Donne";"1376"
"Totale";"1352"
"8. Utilizzo e richiesta della laurea nell'attuale lavoro"
"";""
"Laureati che proseguono il lavoro iniziato prima della laurea: hanno notato un miglioramento nel proprio lavoro dovuto alla laurea (%)";"63,6"
"Laureati che proseguono il lavoro iniziato prima della laurea e che hanno notato un miglioramento nel lavoro: tipo di miglioramento (%)";" "
"Dal punto di vista economico";"14,3"
"Nella posizione lavorativa";"57,1"
"Nelle mansioni svolte";"14,3"
"Nelle competenze professionali";"14,3"
"Sotto altri punti di vista";"-"
"Utilizzo delle competenze acquisite con la laurea (%)";" "
"In misura elevata";"65,5"
"In misura ridotta";"31,0"
"Per niente";"3,4"
"Adeguatezza della formazione professionale acquisita all'università (%)";" "
"Molto adeguata";"69,0"
"Poco adeguata";"27,6"
"Per niente adeguata";"3,4"
"Richiesta della laurea per l'attività lavorativa (%)";" "
"Richiesta per legge";"13,8"
"Non richiesta ma necessaria";"48,3"
"Non richiesta ma utile";"34,5"
"Non richiesta né utile";"3,4"
"9. Efficacia della laurea e soddisfazione per l'attuale lavoro"
"";""
"Efficacia della laurea nel lavoro svolto (%) ";" "
"Molto efficace/Efficace";"69,0"
"Abbastanza efficace";"27,6"
"Poco/Per nulla efficace";"3,4"
"Soddisfazione per il lavoro svolto (medie, scala 1-10)";"7,6"
"Occupati che cercano lavoro (%)";"20,7"
"10. Ricerca del lavoro"
"";""
"Numero di non occupati che cercano lavoro";"1"
"Non occupati che cercano: ultima iniziativa per cercare lavoro (%)";" "
"Ultimi 15 giorni";"100,0"
"15-30 giorni fa";"-"
"1-6 mesi fa";"-"
"Oltre 6 mesi fa";"-"
"Numero di non occupati che non cercano lavoro";"17"
"Non occupati che non cercano: motivo della non ricerca (%)";" "
"Studio";"82,4"
"In attesa di chiamata dal datore di lavoro ";"5,9"
"Motivi personali";"-"
"Mancanza di opportunità lavorative";"-"
"Altro motivo";"11,8"
