"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"80"
"Hanno compilato il questionario";"79"
"Tasso di compilazione";"98,8"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"87,5"
"Donne";"12,5"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"31,3"
"23-24 anni";"28,8"
"25-26 anni";"30,0"
"27 anni e oltre";"10,0"
"Età alla laurea (medie, in anni)";"24,5"
"Cittadini stranieri (%) ";"3,8"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"50,0"
"Altra provincia della stessa regione";"31,3"
"Altra regione";"18,8"
"Estero";"-"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"36,7"
"Entrambi con laurea";"13,9"
"Uno solo con laurea";"22,8"
"Nessun genitore laureato";"59,5"
"Diploma di scuola secondaria di secondo grado";"40,5"
"Qualifica professionale, titolo inferiore o nessun titolo";"19,0"
"Classe sociale (%) ";" "
"Classe elevata";"20,3"
"Classe media impiegatizia";"35,4"
"Classe media autonoma";"17,7"
"Classe del lavoro esecutivo";"22,8"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"52,5"
"Liceo classico";"3,8"
"Liceo linguistico";"-"
"Liceo scientifico";"47,5"
"Liceo delle scienze umane";"1,3"
"Liceo artistico e musicale e coreutico";"-"
"Tecnico";"46,3"
"Tecnico economico";"11,3"
"Tecnico tecnologico";"35,0"
"Professionale";"-"
"Titolo estero";"1,3"
"Voto di diploma (medie, in 100-mi) ";"80,7"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"47,5"
"In una provincia limitrofa";"30,0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"13,8"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"6,3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,3"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"-"
"All'estero";"1,3"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"15,2"
"Portate a termine";"2,5"
"Non portate a termine";"12,7"
"Nessuna precedente esperienza universitaria";"84,8"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"51,9"
"Fattori prevalentemente culturali";"29,1"
"Fattori prevalentemente professionalizzanti";"13,9"
"Né gli uni né gli altri";"5,1"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"80,0"
"2 o più anni di ritardo";"20,0"
"Punteggio degli esami (medie, in 30-mi) ";"24,9"
"Voto di laurea (medie, in 110-mi) ";"96,5"
"Regolarità negli studi (%) ";" "
"In corso";"37,5"
"1° anno fuori corso";"22,5"
"2° anno fuori corso";"18,8"
"3° anno fuori corso";"13,8"
"4° anno fuori corso";"5,0"
"5° anno fuori corso e oltre";"2,5"
"Durata degli studi (medie, in anni) ";"4,6"
"Ritardo alla laurea (medie, in anni) ";"1,6"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,52"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"54,4"
"Meno del 50%";"44,3"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"68,4"
"Tra il 50% e il 75%";"16,5"
"Tra il 25% e il 50%";"8,9"
"Meno del 25%";"6,3"
"Hanno usufruito del servizio di borse di studio (%)";"12,7"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"3,8"
"Con Erasmus o altro programma dell'Unione Europea";"3,8"
"Altra esperienza riconosciuta dal corso di studio";"-"
"Iniziativa personale";"-"
"Non hanno compiuto studi all'estero";"96,2"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"100,0"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"69,6"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"44,3"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"13,9"
"Attività di lavoro successivamente riconosciute dal corso";"7,6"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"29,1"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"4,8"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"55,7"
"Lavoratori-studenti";"8,9"
"Altre esperienze di lavoro con continuità a tempo pieno";"10,1"
"Lavoro a tempo parziale";"8,9"
"Lavoro occasionale, saltuario, stagionale";"27,8"
"Nessuna esperienza di lavoro";"43,0"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"56,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"46,8"
"Più sì che no";"45,6"
"Più no che sì";"5,1"
"Decisamente no";"2,5"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"25,3"
"Più sì che no";"62,0"
"Più no che sì";"11,4"
"Decisamente no";"1,3"
