"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"8366"
"Hanno compilato il questionario";"7717"
"Tasso di compilazione";"92,2"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"50,5"
"Donne";"49,5"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"21,8"
"23-24 anni";"32,4"
"25-26 anni";"24,0"
"27 anni e oltre";"21,7"
"Età alla laurea (medie, in anni)";"25,6"
"Cittadini stranieri (%) ";"2,8"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"39,6"
"Altra provincia della stessa regione";"34,4"
"Altra regione";"24,9"
"Estero";"1,1"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"28,9"
"Entrambi con laurea";"10,6"
"Uno solo con laurea";"18,3"
"Nessun genitore laureato";"69,8"
"Diploma di scuola secondaria di secondo grado";"45,7"
"Qualifica professionale, titolo inferiore o nessun titolo";"24,0"
"Classe sociale (%) ";" "
"Classe elevata";"21,8"
"Classe media impiegatizia";"29,4"
"Classe media autonoma";"27,5"
"Classe del lavoro esecutivo";"19,7"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"63,5"
"Liceo classico";"9,1"
"Liceo linguistico";"4,5"
"Liceo scientifico";"44,3"
"Liceo delle scienze umane";"4,3"
"Liceo artistico e musicale e coreutico";"1,2"
"Tecnico";"27,3"
"Tecnico economico";"4,4"
"Tecnico tecnologico";"23,0"
"Professionale";"6,6"
"Titolo estero";"2,2"
"Voto di diploma (medie, in 100-mi) ";"78,9"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"36,9"
"In una provincia limitrofa";"31,5"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"17,0"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"7,5"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"3,2"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,5"
"All'estero";"2,3"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"42,8"
"Portate a termine";"30,7"
"Non portate a termine";"12,1"
"Nessuna precedente esperienza universitaria";"56,9"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"47,0"
"Fattori prevalentemente culturali";"26,8"
"Fattori prevalentemente professionalizzanti";"7,3"
"Né gli uni né gli altri";"18,9"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"76,4"
"2 o più anni di ritardo";"23,6"
"Punteggio degli esami (medie, in 30-mi) ";"26,0"
"Voto di laurea (medie, in 110-mi) ";"103,0"
"Regolarità negli studi (%) ";" "
"In corso";"55,6"
"1° anno fuori corso";"21,9"
"2° anno fuori corso";"8,7"
"3° anno fuori corso";"4,9"
"4° anno fuori corso";"2,9"
"5° anno fuori corso e oltre";"6,0"
"Durata degli studi (medie, in anni) ";"4,2"
"Ritardo alla laurea (medie, in anni) ";"1,3"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,43"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"72,7"
"Meno del 50%";"26,9"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"73,7"
"Tra il 50% e il 75%";"18,2"
"Tra il 25% e il 50%";"5,2"
"Meno del 25%";"2,6"
"Hanno usufruito del servizio di borse di studio (%)";"20,8"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"10,3"
"Con Erasmus o altro programma dell'Unione Europea";"7,6"
"Altra esperienza riconosciuta dal corso di studio";"2,0"
"Iniziativa personale";"0,6"
"Non hanno compiuto studi all'estero";"89,6"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"72,2"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"31,8"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"74,3"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"19,5"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"46,8"
"Attività di lavoro successivamente riconosciute dal corso";"6,4"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"25,3"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"4,5"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"71,6"
"Lavoratori-studenti";"5,5"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,3"
"Lavoro a tempo parziale";"20,9"
"Lavoro occasionale, saltuario, stagionale";"40,8"
"Nessuna esperienza di lavoro";"28,2"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"27,7"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"43,6"
"Più sì che no";"47,6"
"Più no che sì";"7,5"
"Decisamente no";"0,9"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"29,7"
"Più sì che no";"61,6"
"Più no che sì";"7,4"
"Decisamente no";"0,8"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"55,6"
"Più sì che no";"36,5"
"Più no che sì";"6,4"
"Decisamente no";"1,1"
"Hanno utilizzato le aule (%)";"99,0"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"32,4"
"Spesso adeguate";"49,8"
"Raramente adeguate";"15,7"
"Mai adeguate";"2,1"
"Hanno utilizzato le postazioni informatiche (%)";"78,9"
"Non le hanno utilizzate nonostante fossero presenti";"14,9"
"Non le hanno utilizzate in quanto non presenti";"5,8"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"55,2"
"In numero inadeguato";"44,8"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"84,8"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"45,9"
"Abbastanza positiva";"49,0"
"Abbastanza negativa";"3,7"
"Decisamente negativa";"1,3"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)";"96,3"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"33,2"
"Spesso adeguate";"48,1"
"Raramente adeguate";"16,2"
"Mai adeguate";"2,5"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"85,3"
"Non li hanno utilizzati nonostante fossero presenti";"9,8"
"Non li hanno utilizzati in quanto non presenti";"4,3"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)";" "
"Adeguati";"60,8"
"Inadeguati";"39,2"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)";" "
"Sempre o quasi sempre";"43,3"
"Per più della metà degli esami";"46,4"
"Per meno della metà degli esami";"8,8"
"Mai o quasi mai";"1,4"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)";" "
"Decisamente sì";"46,6"
"Più sì che no";"38,9"
"Più no che sì";"11,5"
"Decisamente no";"2,7"
"Si iscriverebbero di nuovo all'università? (%) ";" "
"Sì, allo stesso corso dell'Ateneo";"73,6"
"Sì, ma ad un altro corso dell'Ateneo";"9,8"
"Sì, allo stesso corso ma in un altro Ateneo";"7,7"
"Sì, ma ad un altro corso e in un altro Ateneo";"5,6"
"Non si iscriverebbero più all'università";"2,9"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";""
"Lingue straniere: conoscenza “almeno B2” (%) ";" "
"Inglese scritto";"41,3"
"Inglese parlato";"38,2"
"Francese scritto";"4,4"
"Francese parlato";"4,3"
"Spagnolo scritto";"6,7"
"Spagnolo parlato";"6,9"
"Tedesco scritto";"1,5"
"Tedesco parlato";"1,5"
"Strumenti informatici: livello di conoscenza "almeno buona" (%) ";" "
"Navigazione in Internet e comunicazione in rete";"84,8"
"Word processor";"68,1"
"Fogli elettronici";"61,2"
"Strumenti di presentazione";"64,3"
"Sistemi operativi";"64,3"
"Linguaggi di programmazione";"7,1"
"Data base";"9,0"
"Realizzazione siti web";"6,8"
"Reti di trasmissione dati";"8,0"
"Disegno e progettazione assistita";"13,9"
"9. PROSPETTIVE DI STUDIO"
"";""
"Intendono proseguire gli studi dopo il conseguimento del titolo (%)";"59,8"
"Laurea di primo livello";"0,8"
"Laurea magistrale biennale";"37,3"
"Laurea magistrale a ciclo unico";"0,9"
"Dottorato di ricerca";"4,5"
"Diploma accademico (Alta Formazione Artistica e Musicale) ";"0,1"
"Scuola di specializzazione post-laurea";"4,6"
"Master universitario";"4,4"
"Altro tipo di master o corso di perfezionamento";"2,0"
"Tirocinio, praticantato";"2,0"
"Attività sostenuta da borsa o assegno di studio";"0,5"
"Altre attività di qualificazione professionale";"2,6"
"Non intendono proseguire";"39,3"
"10. PROSPETTIVE DI LAVORO"
"";""
"Aspetti ritenuti rilevanti nella ricerca del lavoro: decisamente sì (%)";" "
"Acquisizione di professionalità";"82,4"
"Possibilità di carriera";"68,9"
"Possibilità di guadagno";"67,6"
