"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"12827"
"Hanno compilato il questionario";"12060"
"Tasso di compilazione";"94,0"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"53,3"
"Donne";"46,7"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"12,5"
"23-24 anni";"22,6"
"25-26 anni";"28,6"
"27 anni e oltre";"36,2"
"Età alla laurea (medie, in anni)";"26,7"
"Cittadini stranieri (%) ";"5,8"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"48,9"
"Altra provincia della stessa regione";"28,4"
"Altra regione";"21,2"
"Estero";"1,5"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"33,4"
"Entrambi con laurea";"13,3"
"Uno solo con laurea";"20,1"
"Nessun genitore laureato";"65,4"
"Diploma di scuola secondaria di secondo grado";"44,6"
"Qualifica professionale, titolo inferiore o nessun titolo";"20,6"
"Classe sociale (%) ";" "
"Classe elevata";"25,6"
"Classe media impiegatizia";"30,3"
"Classe media autonoma";"23,9"
"Classe del lavoro esecutivo";"18,7"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"69,6"
"Liceo classico";"9,4"
"Liceo linguistico";"2,1"
"Liceo scientifico";"50,7"
"Liceo delle scienze umane";"0,9"
"Liceo artistico e musicale e coreutico";"6,4"
"Tecnico";"25,6"
"Tecnico economico";"1,4"
"Tecnico tecnologico";"24,2"
"Professionale";"0,5"
"Titolo estero";"4,2"
"Voto di diploma (medie, in 100-mi) ";"81,6"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"45,4"
"In una provincia limitrofa";"26,7"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"11,8"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"9,1"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,9"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,7"
"All'estero";"4,3"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"47,4"
"Portate a termine";"40,6"
"Non portate a termine";"6,8"
"Nessuna precedente esperienza universitaria";"52,2"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"41,6"
"Fattori prevalentemente culturali";"33,3"
"Fattori prevalentemente professionalizzanti";"5,9"
"Né gli uni né gli altri";"19,0"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"73,3"
"2 o più anni di ritardo";"26,7"
"Punteggio degli esami (medie, in 30-mi) ";"26,4"
"Voto di laurea (medie, in 110-mi) ";"103,9"
"Regolarità negli studi (%) ";" "
"In corso";"35,9"
"1° anno fuori corso";"29,7"
"2° anno fuori corso";"13,0"
"3° anno fuori corso";"6,6"
"4° anno fuori corso";"4,4"
"5° anno fuori corso e oltre";"10,3"
"Durata degli studi (medie, in anni) ";"5,0"
"Ritardo alla laurea (medie, in anni) ";"2,0"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,65"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"75,2"
"Meno del 50%";"24,3"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"87,2"
"Tra il 50% e il 75%";"9,9"
"Tra il 25% e il 50%";"1,9"
"Meno del 25%";"0,7"
"Hanno usufruito del servizio di borse di studio (%)";"22,4"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"15,9"
"Con Erasmus o altro programma dell'Unione Europea";"12,2"
"Altra esperienza riconosciuta dal corso di studio";"2,8"
"Iniziativa personale";"0,8"
"Non hanno compiuto studi all'estero";"83,7"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"78,1"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"34,9"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"55,3"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"10,5"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"34,0"
"Attività di lavoro successivamente riconosciute dal corso";"9,9"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"44,4"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"5,7"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"63,2"
"Lavoratori-studenti";"3,8"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,1"
"Lavoro a tempo parziale";"18,7"
"Lavoro occasionale, saltuario, stagionale";"37,6"
"Nessuna esperienza di lavoro";"36,7"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"24,7"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"37,8"
"Più sì che no";"51,0"
"Più no che sì";"9,4"
"Decisamente no";"1,5"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"21,0"
"Più sì che no";"64,2"
"Più no che sì";"13,2"
"Decisamente no";"1,1"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"52,2"
"Più sì che no";"39,7"
"Più no che sì";"6,5"
"Decisamente no";"1,2"
"Hanno utilizzato le aule (%)";"99,5"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"22,2"
"Spesso adeguate";"47,7"
"Raramente adeguate";"25,9"
"Mai adeguate";"4,2"
"Hanno utilizzato le postazioni informatiche (%)";"66,6"
"Non le hanno utilizzate nonostante fossero presenti";"15,9"
"Non le hanno utilizzate in quanto non presenti";"17,0"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"49,2"
"In numero inadeguato";"50,8"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"91,1"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"40,7"
"Abbastanza positiva";"52,6"
"Abbastanza negativa";"5,2"
"Decisamente negativa";"1,5"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)";"88,1"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"20,4"
"Spesso adeguate";"41,9"
"Raramente adeguate";"29,4"
"Mai adeguate";"8,4"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"84,3"
"Non li hanno utilizzati nonostante fossero presenti";"5,6"
