"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"9034"
"Hanno compilato il questionario";"8518"
"Tasso di compilazione";"94,3"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"28,8"
"Donne";"71,2"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"27,1"
"23-24 anni";"31,3"
"25-26 anni";"19,2"
"27 anni e oltre";"22,4"
"Età alla laurea (medie, in anni)";"26,0"
"Cittadini stranieri (%) ";"4,7"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"43,0"
"Altra provincia della stessa regione";"28,1"
"Altra regione";"27,3"
"Estero";"1,6"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"31,7"
"Entrambi con laurea";"11,7"
"Uno solo con laurea";"20,1"
"Nessun genitore laureato";"67,2"
"Diploma di scuola secondaria di secondo grado";"45,4"
"Qualifica professionale, titolo inferiore o nessun titolo";"21,6"
"Classe sociale (%) ";" "
"Classe elevata";"22,9"
"Classe media impiegatizia";"32,8"
"Classe media autonoma";"22,6"
"Classe del lavoro esecutivo";"20,3"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"80,0"
"Liceo classico";"20,0"
"Liceo linguistico";"11,6"
"Liceo scientifico";"24,6"
"Liceo delle scienze umane";"7,9"
"Liceo artistico e musicale e coreutico";"15,9"
"Tecnico";"12,9"
"Tecnico economico";"7,4"
"Tecnico tecnologico";"5,5"
"Professionale";"3,0"
"Titolo estero";"3,9"
"Voto di diploma (medie, in 100-mi) ";"79,4"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"39,4"
"In una provincia limitrofa";"25,2"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"15,6"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"11,2"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"3,2"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,6"
"All'estero";"3,8"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"42,6"
"Portate a termine";"29,3"
"Non portate a termine";"13,4"
"Nessuna precedente esperienza universitaria";"57,2"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"33,8"
"Fattori prevalentemente culturali";"50,3"
"Fattori prevalentemente professionalizzanti";"2,3"
"Né gli uni né gli altri";"13,5"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"72,5"
"2 o più anni di ritardo";"27,5"
"Punteggio degli esami (medie, in 30-mi) ";"27,3"
"Voto di laurea (medie, in 110-mi) ";"105,3"
"Regolarità negli studi (%) ";" "
"In corso";"53,8"
"1° anno fuori corso";"25,9"
"2° anno fuori corso";"9,1"
"3° anno fuori corso";"3,8"
"4° anno fuori corso";"2,4"
"5° anno fuori corso e oltre";"4,9"
"Durata degli studi (medie, in anni) ";"4,0"
"Ritardo alla laurea (medie, in anni) ";"1,2"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,47"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"69,5"
"Meno del 50%";"29,9"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"70,3"
"Tra il 50% e il 75%";"18,3"
"Tra il 25% e il 50%";"6,0"
"Meno del 25%";"4,8"
"Hanno usufruito del servizio di borse di studio (%)";"26,0"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,9"
"Con Erasmus o altro programma dell'Unione Europea";"5,9"
"Altra esperienza riconosciuta dal corso di studio";"0,8"
"Iniziativa personale";"1,2"
"Non hanno compiuto studi all'estero";"91,8"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"87,0"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"17,3"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"69,3"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"11,7"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"42,1"
"Attività di lavoro successivamente riconosciute dal corso";"14,4"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"30,3"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"5,1"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"71,3"
"Lavoratori-studenti";"7,4"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,1"
"Lavoro a tempo parziale";"21,8"
"Lavoro occasionale, saltuario, stagionale";"37,9"
"Nessuna esperienza di lavoro";"28,6"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"22,0"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"43,8"
"Più sì che no";"46,2"
"Più no che sì";"8,4"
"Decisamente no";"1,3"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"30,1"
"Più sì che no";"60,0"
"Più no che sì";"8,6"
"Decisamente no";"0,8"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"50,7"
"Più sì che no";"39,3"
"Più no che sì";"7,7"
"Decisamente no";"1,8"
"Hanno utilizzato le aule (%)";"98,6"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"25,9"
"Spesso adeguate";"48,2"
"Raramente adeguate";"23,2"
"Mai adeguate";"2,7"
"Hanno utilizzato le postazioni informatiche (%)";"63,6"
"Non le hanno utilizzate nonostante fossero presenti";"24,4"
"Non le hanno utilizzate in quanto non presenti";"11,7"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"51,9"
"In numero inadeguato";"48,1"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"91,8"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"44,1"
"Abbastanza positiva";"49,8"
"Abbastanza negativa";"4,8"
"Decisamente negativa";"1,3"
