"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"39"
"Hanno compilato il questionario";"30"
"Tasso di compilazione";"76,9"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"84,6"
"Donne";"15,4"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"12,8"
"23-24 anni";"59,0"
"25-26 anni";"12,8"
"27 anni e oltre";"15,4"
"Età alla laurea (medie, in anni)";"24,7"
"Cittadini stranieri (%) ";"5,1"
"Residenza (%)";" "
"Stessa provincia della sede degli studi";"46,2"
"Altra provincia della stessa regione";"38,5"
"Altra regione";"15,4"
"Estero";"-"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%)";" "
"Almeno un genitore laureato";"36,7"
"Entrambi con laurea";"3,3"
"Uno solo con laurea";"33,3"
"Nessun genitore laureato";"60,0"
"Scuola media superiore";"46,7"
"Titoli inferiori o nessun titolo";"13,3"
"Classe sociale (%) ";" "
"Classe elevata";"16,7"
"Classe media impiegatizia";"43,3"
"Classe media autonoma";"20,0"
"Classe del lavoro esecutivo";"16,7"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"51,3"
"Liceo classico";"5,1"
"Liceo linguistico";"2,6"
"Liceo scientifico";"43,6"
"Liceo delle scienze umane";"-"
"Liceo artistico e musicale e coreutico";"-"
"Tecnico";"46,2"
"Tecnico economico";"12,8"
"Tecnico tecnologico";"33,3"
"Professionale";"-"
"Titolo estero";"2,6"
"Voto di diploma (medie, in 100-mi) ";"82,2"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"33,3"
"In una provincia limitrofa";"33,3"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"17,9"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"10,3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"-"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"-"
"All'estero";"5,1"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"23,3"
"Portate a termine";"3,3"
"Non portate a termine";"20,0"
"Nessuna precedente esperienza universitaria";"76,7"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"53,3"
"Fattori prevalentemente culturali";"20,0"
"Fattori prevalentemente professionalizzanti";"10,0"
"Né gli uni né gli altri";"16,7"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"84,6"
"2 o più anni di ritardo";"15,4"
"Punteggio degli esami (medie, in 30-mi) ";"25,4"
"Voto di laurea (medie, in 110-mi) ";"99,8"
"Regolarità negli studi (%) ";" "
"In corso";"35,9"
"1° anno fuori corso";"38,5"
"2° anno fuori corso";"15,4"
"3° anno fuori corso";"5,1"
"4° anno fuori corso";"-"
"5° anno fuori corso e oltre";"5,1"
"Durata degli studi (medie, in anni) ";"4,3"
"Ritardo alla laurea (medie, in anni) ";"0,9"
"Indice di ritardo (rapporto fra ritardo e durata legale del corso) ";"0,30"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"50,0"
"Meno del 50%";"50,0"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"76,7"
"Tra il 50% e il 75%";"16,7"
"Tra il 25% e il 50%";"-"
"Meno del 25%";"6,7"
"Hanno usufruito del servizio di borse di studio (%)";"10,0"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"-"
"Con Erasmus o altro programma dell'Unione Europea";"-"
"Altra esperienza riconosciuta dal corso di studio";"-"
"Iniziativa personale";"-"
"Non hanno compiuto studi all'estero";"100,0"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"-"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"-"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"70,0"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"56,7"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"10,0"
"Attività di lavoro successivamente riconosciute dal corso";"-"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"30,0"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"4,8"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"53,3"
"Lavoratori-studenti";"3,3"
"Altre esperienze di lavoro con continuità a tempo pieno";"-"
"Lavoro a tempo parziale";"20,0"
"Lavoro occasionale, saltuario, stagionale";"30,0"
"Nessuna esperienza di lavoro";"46,7"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"31,3"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"33,3"
"Più sì che no";"46,7"
"Più no che sì";"16,7"
"Decisamente no";"-"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"10,0"
"Più sì che no";"76,7"
"Più no che sì";"13,3"
"Decisamente no";"-"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"43,3"
"Più sì che no";"50,0"
"Più no che sì";"6,7"
"Decisamente no";"-"
"Hanno utilizzato le aule (%)";"100,0"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"-"
"Spesso adeguate";"73,3"
"Raramente adeguate";"23,3"
"Mai adeguate";"3,3"
"Hanno utilizzato le postazioni informatiche (%)";"100,0"
"Non le hanno utilizzate nonostante fossero presenti";"-"
"Non le hanno utilizzate in quanto non presenti";"-"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"60,0"
"In numero inadeguato";"40,0"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"50,0"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"33,3"
"Abbastanza positiva";"60,0"
"Abbastanza negativa";"-"
"Decisamente negativa";"6,7"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)";"96,7"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"10,3"
"Spesso adeguate";"58,6"
"Raramente adeguate";"31,0"
"Mai adeguate";"-"
