"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"43212"
"Hanno compilato il questionario";"38868"
"Tasso di compilazione";"89,9"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"50,4"
"Donne";"49,6"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"31,0"
"23-24 anni";"31,3"
"25-26 anni";"21,5"
"27 anni e oltre";"16,1"
"Età alla laurea (medie, in anni)";"25,0"
"Cittadini stranieri (%) ";"5,8"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"54,1"
"Altra provincia della stessa regione";"25,7"
"Altra regione";"18,6"
"Estero";"1,5"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"28,4"
"Entrambi con laurea";"10,3"
"Uno solo con laurea";"18,1"
"Nessun genitore laureato";"70,6"
"Diploma di scuola secondaria di secondo grado";"46,9"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,6"
"Classe sociale (%) ";" "
"Classe elevata";"23,5"
"Classe media impiegatizia";"28,3"
"Classe media autonoma";"24,6"
"Classe del lavoro esecutivo";"22,1"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"58,0"
"Liceo classico";"9,1"
"Liceo linguistico";"6,9"
"Liceo scientifico";"38,2"
"Liceo delle scienze umane";"3,3"
"Liceo artistico e musicale e coreutico";"0,5"
"Tecnico";"36,3"
"Tecnico economico";"31,4"
"Tecnico tecnologico";"4,9"
"Professionale";"2,1"
"Titolo estero";"3,3"
"Voto di diploma (medie, in 100-mi) ";"80,4"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"51,7"
"In una provincia limitrofa";"24,2"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"9,9"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"8,8"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,5"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,6"
"All'estero";"3,4"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"44,4"
"Portate a termine";"37,8"
"Non portate a termine";"6,6"
"Nessuna precedente esperienza universitaria";"55,4"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"50,6"
"Fattori prevalentemente culturali";"16,6"
"Fattori prevalentemente professionalizzanti";"12,8"
"Né gli uni né gli altri";"19,8"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"79,9"
"2 o più anni di ritardo";"20,1"
"Punteggio degli esami (medie, in 30-mi) ";"25,7"
"Voto di laurea (medie, in 110-mi) ";"100,3"
"Regolarità negli studi (%) ";" "
"In corso";"64,6"
"1° anno fuori corso";"19,5"
"2° anno fuori corso";"6,9"
"3° anno fuori corso";"3,4"
"4° anno fuori corso";"1,8"
"5° anno fuori corso e oltre";"3,8"
"Durata degli studi (medie, in anni) ";"3,6"
"Ritardo alla laurea (medie, in anni) ";"1,0"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,36"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"76,5"
"Meno del 50%";"23,1"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"68,3"
"Tra il 50% e il 75%";"21,2"
"Tra il 25% e il 50%";"6,3"
"Meno del 25%";"4,0"
"Hanno usufruito del servizio di borse di studio (%)";"23,8"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"14,9"
"Con Erasmus o altro programma dell'Unione Europea";"11,1"
"Altra esperienza riconosciuta dal corso di studio";"2,3"
"Iniziativa personale";"1,4"
"Non hanno compiuto studi all'estero";"84,9"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"92,7"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"13,8"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"53,1"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"2,9"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"35,4"
"Attività di lavoro successivamente riconosciute dal corso";"13,8"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"46,6"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"3,4"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"69,5"
"Lavoratori-studenti";"7,4"
"Altre esperienze di lavoro con continuità a tempo pieno";"5,4"
"Lavoro a tempo parziale";"20,9"
"Lavoro occasionale, saltuario, stagionale";"35,7"
"Nessuna esperienza di lavoro";"30,3"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"25,3"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"43,6"
"Più sì che no";"48,1"
"Più no che sì";"7,0"
"Decisamente no";"1,0"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"24,3"
"Più sì che no";"63,7"
"Più no che sì";"10,5"
"Decisamente no";"1,1"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"53,5"
"Più sì che no";"39,3"
"Più no che sì";"5,6"
"Decisamente no";"1,1"
"Hanno utilizzato le aule (%)";"98,7"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"34,2"
"Spesso adeguate";"50,3"
"Raramente adeguate";"14,0"
"Mai adeguate";"1,6"
"Hanno utilizzato le postazioni informatiche (%)";"76,8"
"Non le hanno utilizzate nonostante fossero presenti";"18,8"
"Non le hanno utilizzate in quanto non presenti";"4,2"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"57,0"
"In numero inadeguato";"43,0"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"85,2"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"43,0"
"Abbastanza positiva";"51,3"
"Abbastanza negativa";"4,4"
"Decisamente negativa";"1,3"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)";"70,2"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"30,3"
"Spesso adeguate";"48,3"
"Raramente adeguate";"18,3"
"Mai adeguate";"3,1"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"84,0"
"Non li hanno utilizzati nonostante fossero presenti";"10,8"
"Non li hanno utilizzati in quanto non presenti";"4,8"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)";" "
"Adeguati";"59,8"
"Inadeguati";"40,2"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)";" "
"Sempre o quasi sempre";"40,8"
"Per più della metà degli esami";"46,8"
"Per meno della metà degli esami";"10,3"
"Mai o quasi mai";"1,8"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)";" "
"Decisamente sì";"48,1"
"Più sì che no";"42,5"
"Più no che sì";"8,0"
"Decisamente no";"1,1"
"Si iscriverebbero di nuovo all'università? (%) ";" "
"Sì, allo stesso corso dell'Ateneo";"73,9"
"Sì, ma ad un altro corso dell'Ateneo";"9,0"
"Sì, allo stesso corso ma in un altro Ateneo";"9,5"
"Sì, ma ad un altro corso e in un altro Ateneo";"5,5"
"Non si iscriverebbero più all'università";"2,0"
"8. CONOSCENZE LINGUISTICHE E INFORMATICHE"
"";""
"Lingue straniere: conoscenza “almeno B2” (%) ";" "
"Inglese scritto";"60,6"
"Inglese parlato";"57,3"
"Francese scritto";"7,8"
"Francese parlato";"7,9"
"Spagnolo scritto";"11,1"
"Spagnolo parlato";"11,7"
"Tedesco scritto";"2,8"
"Tedesco parlato";"2,6"
"Strumenti informatici: livello di conoscenza "almeno buona" (%) ";" "
"Navigazione in Internet e comunicazione in rete";"91,4"
"Word processor";"77,6"
"Fogli elettronici";"74,5"
"Strumenti di presentazione";"70,5"
"Sistemi operativi";"75,7"
"Linguaggi di programmazione";"9,5"
"Data base";"13,4"
"Realizzazione siti web";"8,4"
"Reti di trasmissione dati";"8,7"
"Disegno e progettazione assistita";"4,8"
"9. PROSPETTIVE DI STUDIO"
"";""
"Intendono proseguire gli studi dopo il conseguimento del titolo (%)";"60,1"
"Laurea di primo livello";"0,3"
"Laurea magistrale biennale";"43,8"
"Laurea magistrale a ciclo unico";"0,3"
"Dottorato di ricerca";"1,6"
