"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"15363"
"Hanno compilato il questionario";"14376"
"Tasso di compilazione";"93,6"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"6,3"
"Donne";"93,7"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"17,8"
"23-24 anni";"31,8"
"25-26 anni";"19,9"
"27 anni e oltre";"30,6"
"Età alla laurea (medie, in anni)";"27,2"
"Cittadini stranieri (%) ";"1,5"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"47,6"
"Altra provincia della stessa regione";"36,1"
"Altra regione";"16,0"
"Estero";"0,2"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"16,3"
"Entrambi con laurea";"4,3"
"Uno solo con laurea";"11,9"
"Nessun genitore laureato";"82,7"
"Diploma di scuola secondaria di secondo grado";"46,2"
"Qualifica professionale, titolo inferiore o nessun titolo";"36,3"
"Classe sociale (%) ";" "
"Classe elevata";"12,4"
"Classe media impiegatizia";"30,1"
"Classe media autonoma";"25,2"
"Classe del lavoro esecutivo";"30,3"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"78,2"
"Liceo classico";"10,1"
"Liceo linguistico";"7,9"
"Liceo scientifico";"18,6"
"Liceo delle scienze umane";"39,1"
"Liceo artistico e musicale e coreutico";"2,6"
"Tecnico";"14,8"
"Tecnico economico";"12,1"
"Tecnico tecnologico";"2,7"
"Professionale";"6,1"
"Titolo estero";"0,8"
"Voto di diploma (medie, in 100-mi) ";"77,4"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"45,6"
"In una provincia limitrofa";"32,7"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"13,1"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"6,2"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"0,8"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,6"
"All'estero";"0,9"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"41,0"
"Portate a termine";"28,6"
"Non portate a termine";"12,4"
"Nessuna precedente esperienza universitaria";"58,8"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"52,3"
"Fattori prevalentemente culturali";"20,8"
"Fattori prevalentemente professionalizzanti";"11,1"
"Né gli uni né gli altri";"15,7"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"64,1"
"2 o più anni di ritardo";"35,9"
"Punteggio degli esami (medie, in 30-mi) ";"26,6"
"Voto di laurea (medie, in 110-mi) ";"103,4"
"Regolarità negli studi (%) ";" "
"In corso";"65,4"
"1° anno fuori corso";"17,9"
"2° anno fuori corso";"6,7"
"3° anno fuori corso";"3,3"
"4° anno fuori corso";"1,8"
"5° anno fuori corso e oltre";"4,9"
"Durata degli studi (medie, in anni) ";"4,4"
"Ritardo alla laurea (medie, in anni) ";"1,0"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,34"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"60,8"
"Meno del 50%";"38,4"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"47,4"
"Tra il 50% e il 75%";"24,2"
"Tra il 25% e il 50%";"12,6"
"Meno del 25%";"15,5"
"Hanno usufruito del servizio di borse di studio (%)";"29,0"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"5,0"
"Con Erasmus o altro programma dell'Unione Europea";"3,9"
"Altra esperienza riconosciuta dal corso di studio";"0,4"
"Iniziativa personale";"0,6"
"Non hanno compiuto studi all'estero";"94,7"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"84,4"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"15,9"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"88,1"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"3,2"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"71,2"
"Attività di lavoro successivamente riconosciute dal corso";"11,2"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"11,6"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"4,9"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"79,9"
"Lavoratori-studenti";"16,5"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,8"
"Lavoro a tempo parziale";"28,0"
"Lavoro occasionale, saltuario, stagionale";"30,6"
"Nessuna esperienza di lavoro";"20,0"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"58,5"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"53,1"
"Più sì che no";"41,1"
"Più no che sì";"5,1"
"Decisamente no";"0,5"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"30,7"
"Più sì che no";"62,2"
"Più no che sì";"6,2"
"Decisamente no";"0,4"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"55,0"
"Più sì che no";"39,2"
"Più no che sì";"4,4"
"Decisamente no";"0,8"
"Hanno utilizzato le aule (%)";"97,2"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"29,3"
"Spesso adeguate";"48,7"
"Raramente adeguate";"20,3"
"Mai adeguate";"1,7"
