"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"14758"
"Hanno compilato il questionario";"13389"
"Tasso di compilazione";"90,7"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"37,6"
"Donne";"62,4"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"4,1"
"23-24 anni";"32,6"
"25-26 anni";"29,2"
"27 anni e oltre";"34,0"
"Età alla laurea (medie, in anni)";"27,2"
"Cittadini stranieri (%) ";"1,6"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"53,4"
"Altra provincia della stessa regione";"24,6"
"Altra regione";"21,7"
"Estero";"0,3"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"38,6"
"Entrambi con laurea";"16,8"
"Uno solo con laurea";"21,8"
"Nessun genitore laureato";"60,0"
"Diploma di scuola secondaria di secondo grado";"39,6"
"Qualifica professionale, titolo inferiore o nessun titolo";"20,3"
"Classe sociale (%) ";" "
"Classe elevata";"30,1"
"Classe media impiegatizia";"30,5"
"Classe media autonoma";"19,6"
"Classe del lavoro esecutivo";"18,2"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"81,2"
"Liceo classico";"35,2"
"Liceo linguistico";"6,2"
"Liceo scientifico";"31,9"
"Liceo delle scienze umane";"7,3"
"Liceo artistico e musicale e coreutico";"0,6"
"Tecnico";"16,7"
"Tecnico economico";"13,2"
"Tecnico tecnologico";"3,5"
"Professionale";"1,4"
"Titolo estero";"0,6"
"Voto di diploma (medie, in 100-mi) ";"81,0"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"51,2"
"In una provincia limitrofa";"23,3"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"9,9"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"12,4"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,3"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,2"
"All'estero";"0,7"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"12,6"
"Portate a termine";"4,1"
"Non portate a termine";"8,5"
"Nessuna precedente esperienza universitaria";"87,0"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"47,1"
"Fattori prevalentemente culturali";"27,8"
"Fattori prevalentemente professionalizzanti";"6,3"
"Né gli uni né gli altri";"18,7"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"85,6"
"2 o più anni di ritardo";"14,4"
"Punteggio degli esami (medie, in 30-mi) ";"26,0"
"Voto di laurea (medie, in 110-mi) ";"101,4"
"Regolarità negli studi (%) ";" "
"In corso";"41,0"
"1° anno fuori corso";"19,1"
"2° anno fuori corso";"11,9"
"3° anno fuori corso";"8,4"
"4° anno fuori corso";"5,9"
"5° anno fuori corso e oltre";"13,6"
"Durata degli studi (medie, in anni) ";"6,8"
"Ritardo alla laurea (medie, in anni) ";"2,2"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,50"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"72,4"
"Meno del 50%";"27,2"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"41,3"
"Tra il 50% e il 75%";"29,7"
"Tra il 25% e il 50%";"18,2"
"Meno del 25%";"10,4"
"Hanno usufruito del servizio di borse di studio (%)";"18,5"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"15,5"
"Con Erasmus o altro programma dell'Unione Europea";"11,9"
"Altra esperienza riconosciuta dal corso di studio";"1,9"
"Iniziativa personale";"1,7"
"Non hanno compiuto studi all'estero";"84,3"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"91,9"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"15,6"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"26,5"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"1,5"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"18,7"
"Attività di lavoro successivamente riconosciute dal corso";"5,7"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"73,1"
