"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"4920"
"Hanno compilato il questionario";"4604"
"Tasso di compilazione";"93,6"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"85,0"
"Donne";"15,0"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"28,2"
"23-24 anni";"32,6"
"25-26 anni";"20,6"
"27 anni e oltre";"18,6"
"Età alla laurea (medie, in anni)";"25,2"
"Cittadini stranieri (%) ";"6,8"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"49,3"
"Altra provincia della stessa regione";"30,6"
"Altra regione";"18,0"
"Estero";"2,1"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"25,9"
"Entrambi con laurea";"8,9"
"Uno solo con laurea";"17,0"
"Nessun genitore laureato";"72,6"
"Diploma di scuola secondaria di secondo grado";"48,6"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,8"
"Classe sociale (%) ";" "
"Classe elevata";"16,1"
"Classe media impiegatizia";"33,9"
"Classe media autonoma";"21,8"
"Classe del lavoro esecutivo";"26,2"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"46,8"
"Liceo classico";"3,2"
"Liceo linguistico";"1,6"
"Liceo scientifico";"40,4"
"Liceo delle scienze umane";"1,1"
"Liceo artistico e musicale e coreutico";"0,7"
"Tecnico";"47,4"
"Tecnico economico";"12,8"
"Tecnico tecnologico";"34,6"
"Professionale";"1,4"
"Titolo estero";"4,3"
"Voto di diploma (medie, in 100-mi) ";"81,7"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"46,7"
"In una provincia limitrofa";"27,8"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"12,0"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"6,7"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,8"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,7"
"All'estero";"4,2"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"38,4"
"Portate a termine";"27,2"
"Non portate a termine";"11,1"
"Nessuna precedente esperienza universitaria";"61,4"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"55,8"
"Fattori prevalentemente culturali";"18,5"
"Fattori prevalentemente professionalizzanti";"12,0"
"Né gli uni né gli altri";"13,6"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"79,6"
"2 o più anni di ritardo";"20,4"
"Punteggio degli esami (medie, in 30-mi) ";"25,8"
"Voto di laurea (medie, in 110-mi) ";"101,3"
"Regolarità negli studi (%) ";" "
"In corso";"53,2"
"1° anno fuori corso";"22,6"
"2° anno fuori corso";"10,4"
"3° anno fuori corso";"5,1"
"4° anno fuori corso";"3,0"
"5° anno fuori corso e oltre";"5,8"
"Durata degli studi (medie, in anni) ";"4,1"
"Ritardo alla laurea (medie, in anni) ";"1,3"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,48"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"74,3"
"Meno del 50%";"25,3"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"73,1"
"Tra il 50% e il 75%";"17,3"
"Tra il 25% e il 50%";"5,4"
"Meno del 25%";"3,9"
"Hanno usufruito del servizio di borse di studio (%)";"30,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,4"
"Con Erasmus o altro programma dell'Unione Europea";"5,2"
"Altra esperienza riconosciuta dal corso di studio";"1,7"
"Iniziativa personale";"0,4"
"Non hanno compiuto studi all'estero";"92,4"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"77,4"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"36,4"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"72,0"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"32,9"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"28,5"
"Attività di lavoro successivamente riconosciute dal corso";"9,3"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"27,7"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"4,0"
