"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"32412"
"Hanno compilato il questionario";"30524"
"Tasso di compilazione";"94,2"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"73,9"
"Donne";"26,1"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"30,2"
"23-24 anni";"30,8"
"25-26 anni";"22,2"
"27 anni e oltre";"16,7"
"Età alla laurea (medie, in anni)";"24,9"
"Cittadini stranieri (%) ";"4,9"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"50,3"
"Altra provincia della stessa regione";"25,6"
"Altra regione";"22,7"
"Estero";"1,3"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"36,6"
"Entrambi con laurea";"15,3"
"Uno solo con laurea";"21,3"
"Nessun genitore laureato";"62,5"
"Diploma di scuola secondaria di secondo grado";"45,6"
"Qualifica professionale, titolo inferiore o nessun titolo";"16,9"
"Classe sociale (%) ";" "
"Classe elevata";"24,0"
"Classe media impiegatizia";"35,2"
"Classe media autonoma";"21,1"
"Classe del lavoro esecutivo";"18,6"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"76,9"
"Liceo classico";"6,4"
"Liceo linguistico";"1,3"
"Liceo scientifico";"68,4"
"Liceo delle scienze umane";"0,5"
"Liceo artistico e musicale e coreutico";"0,2"
"Tecnico";"19,0"
"Tecnico economico";"2,5"
"Tecnico tecnologico";"16,6"
"Professionale";"0,4"
"Titolo estero";"3,5"
"Voto di diploma (medie, in 100-mi) ";"86,6"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"47,2"
"In una provincia limitrofa";"24,0"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"8,6"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"13,3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"2,8"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,4"
"All'estero";"3,7"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"43,6"
"Portate a termine";"40,3"
"Non portate a termine";"3,2"
"Nessuna precedente esperienza universitaria";"56,3"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"54,1"
"Fattori prevalentemente culturali";"17,3"
"Fattori prevalentemente professionalizzanti";"15,4"
"Né gli uni né gli altri";"13,1"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"84,3"
"2 o più anni di ritardo";"15,7"
"Punteggio degli esami (medie, in 30-mi) ";"25,7"
"Voto di laurea (medie, in 110-mi) ";"100,9"
"Regolarità negli studi (%) ";" "
"In corso";"52,4"
"1° anno fuori corso";"25,9"
"2° anno fuori corso";"10,0"
"3° anno fuori corso";"4,8"
"4° anno fuori corso";"2,6"
"5° anno fuori corso e oltre";"4,3"
"Durata degli studi (medie, in anni) ";"3,8"
"Ritardo alla laurea (medie, in anni) ";"1,2"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,46"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"79,5"
"Meno del 50%";"20,2"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"81,5"
"Tra il 50% e il 75%";"13,1"
"Tra il 25% e il 50%";"3,4"
"Meno del 25%";"1,7"
"Hanno usufruito del servizio di borse di studio (%)";"22,9"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"11,7"
"Con Erasmus o altro programma dell'Unione Europea";"7,1"
"Altra esperienza riconosciuta dal corso di studio";"3,8"
"Iniziativa personale";"0,8"
"Non hanno compiuto studi all'estero";"88,1"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"67,5"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"48,3"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"36,6"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"12,9"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"17,6"
"Attività di lavoro successivamente riconosciute dal corso";"5,8"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"63,1"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"3,8"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"54,7"
"Lavoratori-studenti";"2,9"
"Altre esperienze di lavoro con continuità a tempo pieno";"3,5"
"Lavoro a tempo parziale";"13,4"
"Lavoro occasionale, saltuario, stagionale";"34,9"
"Nessuna esperienza di lavoro";"45,1"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"17,7"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"43,7"
"Più sì che no";"48,1"
"Più no che sì";"7,0"
"Decisamente no";"0,9"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"22,1"
"Più sì che no";"64,5"
"Più no che sì";"12,0"
"Decisamente no";"1,1"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"56,3"
"Più sì che no";"37,0"
"Più no che sì";"5,5"
"Decisamente no";"0,8"
"Hanno utilizzato le aule (%)";"99,3"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"26,5"
"Spesso adeguate";"53,2"
"Raramente adeguate";"18,5"
"Mai adeguate";"1,9"
"Hanno utilizzato le postazioni informatiche (%)";"85,2"
"Non le hanno utilizzate nonostante fossero presenti";"10,8"
"Non le hanno utilizzate in quanto non presenti";"3,7"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"56,5"
"In numero inadeguato";"43,5"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"76,3"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"40,8"
"Abbastanza positiva";"52,4"
"Abbastanza negativa";"5,1"
"Decisamente negativa";"1,7"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)";"83,8"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"27,2"
"Spesso adeguate";"47,6"
"Raramente adeguate";"21,5"
"Mai adeguate";"3,7"
"Hanno utilizzato gli spazi dedicati allo studio individuale (%)";"85,5"
"Non li hanno utilizzati nonostante fossero presenti";"9,9"
"Non li hanno utilizzati in quanto non presenti";"4,3"
"Valutazione degli spazi dedicati allo studio individuale (per 100 fruitori)";" "
"Adeguati";"46,1"
"Inadeguati";"53,9"
"Hanno ritenuto l'organizzazione degli esami (appelli, orari, informazioni, prenotazioni, ...) soddisfacente (%)";" "
"Sempre o quasi sempre";"39,3"
"Per più della metà degli esami";"47,2"
"Per meno della metà degli esami";"11,2"
"Mai o quasi mai";"2,0"
"Hanno ritenuto il carico di studio degli insegnamenti adeguato alla durata del corso di studio (%)";" "
"Decisamente sì";"38,1"
"Più sì che no";"42,9"
"Più no che sì";"15,5"
"Decisamente no";"3,1"
"Si iscriverebbero di nuovo all'università? (%) ";" "
