"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"15210"
"Hanno compilato il questionario";"13866"
"Tasso di compilazione";"91,2"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"37,6"
"Donne";"62,4"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"24,3"
"23-24 anni";"28,6"
"25-26 anni";"21,1"
"27 anni e oltre";"26,0"
"Età alla laurea (medie, in anni)";"26,6"
"Cittadini stranieri (%) ";"2,0"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"45,6"
"Altra provincia della stessa regione";"29,4"
"Altra regione";"24,0"
"Estero";"1,0"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"34,7"
"Entrambi con laurea";"14,0"
"Uno solo con laurea";"20,8"
"Nessun genitore laureato";"64,4"
"Diploma di scuola secondaria di secondo grado";"43,2"
"Qualifica professionale, titolo inferiore o nessun titolo";"21,0"
"Classe sociale (%) ";" "
"Classe elevata";"22,9"
"Classe media impiegatizia";"34,6"
"Classe media autonoma";"21,1"
"Classe del lavoro esecutivo";"20,1"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"89,6"
"Liceo classico";"39,5"
"Liceo linguistico";"7,2"
"Liceo scientifico";"28,8"
"Liceo delle scienze umane";"11,5"
"Liceo artistico e musicale e coreutico";"2,5"
"Tecnico";"7,1"
"Tecnico economico";"4,2"
"Tecnico tecnologico";"2,9"
"Professionale";"1,4"
"Titolo estero";"1,5"
"Voto di diploma (medie, in 100-mi) ";"83,7"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"43,4"
"In una provincia limitrofa";"26,1"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"13,9"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"10,2"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"3,1"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,6"
"All'estero";"1,8"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"52,4"
"Portate a termine";"42,7"
"Non portate a termine";"9,7"
"Nessuna precedente esperienza universitaria";"47,4"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"30,3"
"Fattori prevalentemente culturali";"58,0"
"Fattori prevalentemente professionalizzanti";"1,5"
"Né gli uni né gli altri";"10,0"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"73,4"
"2 o più anni di ritardo";"26,6"
"Punteggio degli esami (medie, in 30-mi) ";"27,9"
"Voto di laurea (medie, in 110-mi) ";"107,3"
