"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"39849"
"Hanno compilato il questionario";"37075"
"Tasso di compilazione";"93,0"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"32,3"
"Donne";"67,7"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"17,1"
"23-24 anni";"28,1"
"25-26 anni";"28,1"
"27 anni e oltre";"26,7"
"Età alla laurea (medie, in anni)";"26,3"
"Cittadini stranieri (%) ";"3,1"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"49,0"
"Altra provincia della stessa regione";"26,9"
"Altra regione";"23,6"
"Estero";"0,5"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"33,5"
"Entrambi con laurea";"14,2"
"Uno solo con laurea";"19,3"
"Nessun genitore laureato";"65,4"
"Diploma di scuola secondaria di secondo grado";"41,5"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,8"
"Classe sociale (%) ";" "
"Classe elevata";"24,0"
"Classe media impiegatizia";"31,2"
"Classe media autonoma";"20,9"
"Classe del lavoro esecutivo";"22,2"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"82,3"
"Liceo classico";"16,7"
"Liceo linguistico";"5,1"
"Liceo scientifico";"49,6"
"Liceo delle scienze umane";"10,0"
"Liceo artistico e musicale e coreutico";"0,9"
"Tecnico";"12,6"
"Tecnico economico";"6,1"
"Tecnico tecnologico";"6,5"
"Professionale";"3,5"
"Titolo estero";"1,6"
"Voto di diploma (medie, in 100-mi) ";"81,9"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"45,9"
"In una provincia limitrofa";"25,2"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"12,9"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"11,6"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,3"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,4"
"All'estero";"1,7"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"40,1"
"Portate a termine";"15,7"
"Non portate a termine";"24,4"
"Nessuna precedente esperienza universitaria";"59,7"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"57,3"
"Fattori prevalentemente culturali";"19,4"
"Fattori prevalentemente professionalizzanti";"8,7"
"Né gli uni né gli altri";"14,5"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"76,2"
"2 o più anni di ritardo";"23,8"
"Punteggio degli esami (medie, in 30-mi) ";"26,6"
"Voto di laurea (medie, in 110-mi) ";"106,4"
"Regolarità negli studi (%) ";" "
"In corso";"64,1"
"1° anno fuori corso";"18,0"
"2° anno fuori corso";"7,0"
"3° anno fuori corso";"3,5"
"4° anno fuori corso";"2,2"
"5° anno fuori corso e oltre";"5,2"
"Durata degli studi (medie, in anni) ";"5,1"
"Ritardo alla laurea (medie, in anni) ";"1,1"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,28"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"76,0"
"Meno del 50%";"23,5"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"82,6"
"Tra il 50% e il 75%";"11,6"
"Tra il 25% e il 50%";"3,6"
"Meno del 25%";"2,0"
"Hanno usufruito del servizio di borse di studio (%)";"23,1"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"9,0"
"Con Erasmus o altro programma dell'Unione Europea";"7,1"
"Altra esperienza riconosciuta dal corso di studio";"1,1"
"Iniziativa personale";"0,8"
"Non hanno compiuto studi all'estero";"90,7"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"71,7"
