"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"24927"
"Hanno compilato il questionario";"22833"
"Tasso di compilazione";"91,6"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"36,7"
"Donne";"63,3"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"27,0"
"23-24 anni";"29,2"
"25-26 anni";"21,1"
"27 anni e oltre";"22,8"
"Età alla laurea (medie, in anni)";"26,2"
"Cittadini stranieri (%) ";"5,7"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"44,9"
"Altra provincia della stessa regione";"25,8"
"Altra regione";"27,4"
"Estero";"1,8"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"28,6"
"Entrambi con laurea";"10,5"
"Uno solo con laurea";"18,1"
"Nessun genitore laureato";"70,3"
"Diploma di scuola secondaria di secondo grado";"46,3"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,9"
"Classe sociale (%) ";" "
"Classe elevata";"22,2"
"Classe media impiegatizia";"31,5"
"Classe media autonoma";"21,9"
"Classe del lavoro esecutivo";"22,7"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"72,4"
"Liceo classico";"16,1"
"Liceo linguistico";"15,7"
"Liceo scientifico";"24,9"
"Liceo delle scienze umane";"13,2"
"Liceo artistico e musicale e coreutico";"2,5"
"Tecnico";"20,3"
"Tecnico economico";"14,5"
"Tecnico tecnologico";"5,8"
"Professionale";"3,1"
"Titolo estero";"4,1"
"Voto di diploma (medie, in 100-mi) ";"78,4"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"41,2"
"In una provincia limitrofa";"22,7"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"15,3"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"11,6"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"3,2"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,9"
"All'estero";"4,2"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"45,5"
"Portate a termine";"33,9"
"Non portate a termine";"11,6"
"Nessuna precedente esperienza universitaria";"54,3"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"35,7"
"Fattori prevalentemente culturali";"37,1"
"Fattori prevalentemente professionalizzanti";"5,4"
"Né gli uni né gli altri";"21,7"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"71,0"
"2 o più anni di ritardo";"29,0"
"Punteggio degli esami (medie, in 30-mi) ";"26,4"
"Voto di laurea (medie, in 110-mi) ";"102,3"
"Regolarità negli studi (%) ";" "
"In corso";"61,4"
"1° anno fuori corso";"21,7"
"2° anno fuori corso";"7,2"
"3° anno fuori corso";"3,5"
"4° anno fuori corso";"2,0"
"5° anno fuori corso e oltre";"4,2"
"Durata degli studi (medie, in anni) ";"3,8"
"Ritardo alla laurea (medie, in anni) ";"1,1"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,40"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"70,2"
"Meno del 50%";"29,3"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"62,1"
"Tra il 50% e il 75%";"22,7"
"Tra il 25% e il 50%";"8,3"
"Meno del 25%";"6,7"
"Hanno usufruito del servizio di borse di studio (%)";"26,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"15,8"
"Con Erasmus o altro programma dell'Unione Europea";"11,8"
"Altra esperienza riconosciuta dal corso di studio";"2,5"
"Iniziativa personale";"1,4"
"Non hanno compiuto studi all'estero";"83,8"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"88,8"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"18,8"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"56,1"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"4,8"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"33,4"
"Attività di lavoro successivamente riconosciute dal corso";"17,0"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"43,7"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"4,2"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"74,3"
"Lavoratori-studenti";"11,3"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,4"
"Lavoro a tempo parziale";"23,0"
"Lavoro occasionale, saltuario, stagionale";"35,7"
"Nessuna esperienza di lavoro";"25,5"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"18,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"42,7"
"Più sì che no";"47,5"
"Più no che sì";"8,2"
"Decisamente no";"1,1"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"29,3"
"Più sì che no";"61,7"
"Più no che sì";"7,9"
"Decisamente no";"0,6"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"51,6"
"Più sì che no";"39,8"
"Più no che sì";"6,7"
"Decisamente no";"1,4"
"Hanno utilizzato le aule (%)";"98,0"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"31,9"
"Spesso adeguate";"49,3"
"Raramente adeguate";"17,0"
"Mai adeguate";"1,8"
"Hanno utilizzato le postazioni informatiche (%)";"71,8"
"Non le hanno utilizzate nonostante fossero presenti";"21,8"
"Non le hanno utilizzate in quanto non presenti";"6,0"
"Valutazione delle postazioni informatiche (per 100 fruitori)";" "
"In numero adeguato";"59,1"
"In numero inadeguato";"40,9"
"Hanno utilizzato i servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (%)";"86,3"
"Valutazione dei servizi di biblioteca (prestito/consultazione, orari di apertura, ...) (per 100 fruitori)";" "
"Decisamente positiva";"45,1"
"Abbastanza positiva";"50,2"
"Abbastanza negativa";"3,7"
"Decisamente negativa";"1,0"
"Hanno utilizzato le attrezzature per le altre attività didattiche (laboratori, attività pratiche, ...) (%)";"71,5"
"Valutazione delle attrezzature per le altre attività didattiche (laboratori, attività pratiche, …) (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"30,6"
