"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"13578"
"Hanno compilato il questionario";"12874"
"Tasso di compilazione";"94,8"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"18,2"
"Donne";"81,8"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"29,7"
"23-24 anni";"31,1"
"25-26 anni";"20,2"
"27 anni e oltre";"19,1"
"Età alla laurea (medie, in anni)";"25,6"
"Cittadini stranieri (%) ";"2,0"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"37,8"
"Altra provincia della stessa regione";"29,3"
"Altra regione";"32,1"
"Estero";"0,8"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"30,0"
"Entrambi con laurea";"11,6"
"Uno solo con laurea";"18,4"
"Nessun genitore laureato";"69,3"
"Diploma di scuola secondaria di secondo grado";"46,0"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,3"
"Classe sociale (%) ";" "
"Classe elevata";"23,5"
"Classe media impiegatizia";"30,6"
"Classe media autonoma";"23,0"
"Classe del lavoro esecutivo";"21,7"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"88,1"
"Liceo classico";"20,4"
"Liceo linguistico";"9,6"
"Liceo scientifico";"34,2"
"Liceo delle scienze umane";"22,0"
"Liceo artistico e musicale e coreutico";"1,9"
"Tecnico";"8,6"
"Tecnico economico";"5,8"
"Tecnico tecnologico";"2,7"
"Professionale";"2,0"
"Titolo estero";"1,2"
"Voto di diploma (medie, in 100-mi) ";"80,5"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"35,5"
"In una provincia limitrofa";"27,2"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"20,6"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"9,8"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"4,2"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,3"
"All'estero";"1,3"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"55,6"
"Portate a termine";"46,0"
"Non portate a termine";"9,6"
"Nessuna precedente esperienza universitaria";"44,2"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"39,1"
"Fattori prevalentemente culturali";"45,7"
"Fattori prevalentemente professionalizzanti";"2,3"
"Né gli uni né gli altri";"12,9"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"75,6"
"2 o più anni di ritardo";"24,4"
"Punteggio degli esami (medie, in 30-mi) ";"26,8"
"Voto di laurea (medie, in 110-mi) ";"104,0"
"Regolarità negli studi (%) ";" "
"In corso";"70,5"
"1° anno fuori corso";"16,8"
"2° anno fuori corso";"5,4"
"3° anno fuori corso";"2,7"
"4° anno fuori corso";"1,5"
