"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"29139"
"Hanno compilato il questionario";"27710"
"Tasso di compilazione";"95,1"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"41,7"
"Donne";"58,3"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"29,0"
"23-24 anni";"30,9"
"25-26 anni";"21,5"
"27 anni e oltre";"18,6"
"Età alla laurea (medie, in anni)";"25,2"
"Cittadini stranieri (%) ";"2,6"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"45,2"
"Altra provincia della stessa regione";"28,6"
"Altra regione";"25,3"
"Estero";"0,8"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"33,6"
"Entrambi con laurea";"13,6"
"Uno solo con laurea";"20,0"
"Nessun genitore laureato";"65,5"
"Diploma di scuola secondaria di secondo grado";"45,6"
"Qualifica professionale, titolo inferiore o nessun titolo";"19,8"
"Classe sociale (%) ";" "
"Classe elevata";"22,8"
"Classe media impiegatizia";"33,5"
"Classe media autonoma";"21,5"
"Classe del lavoro esecutivo";"20,8"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"83,4"
"Liceo classico";"12,8"
"Liceo linguistico";"4,4"
"Liceo scientifico";"61,7"
"Liceo delle scienze umane";"3,7"
"Liceo artistico e musicale e coreutico";"0,8"
"Tecnico";"12,9"
"Tecnico economico";"3,2"
"Tecnico tecnologico";"9,6"
"Professionale";"1,7"
"Titolo estero";"1,9"
"Voto di diploma (medie, in 100-mi) ";"84,0"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"43,4"
"In una provincia limitrofa";"25,1"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"14,4"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"11,3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"2,4"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,5"
"All'estero";"1,9"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"47,7"
"Portate a termine";"40,8"
"Non portate a termine";"6,9"
"Nessuna precedente esperienza universitaria";"52,1"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"41,6"
"Fattori prevalentemente culturali";"38,3"
"Fattori prevalentemente professionalizzanti";"5,6"
"Né gli uni né gli altri";"14,4"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"79,7"
"2 o più anni di ritardo";"20,3"
"Punteggio degli esami (medie, in 30-mi) ";"26,5"
"Voto di laurea (medie, in 110-mi) ";"104,2"
"Regolarità negli studi (%) ";" "
"In corso";"60,4"
"1° anno fuori corso";"21,9"
"2° anno fuori corso";"7,9"
"3° anno fuori corso";"3,7"
"4° anno fuori corso";"2,0"
"5° anno fuori corso e oltre";"4,0"
"Durata degli studi (medie, in anni) ";"3,7"
"Ritardo alla laurea (medie, in anni) ";"1,1"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,39"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"73,4"
"Meno del 50%";"26,2"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"79,7"
"Tra il 50% e il 75%";"14,0"
"Tra il 25% e il 50%";"3,8"
"Meno del 25%";"2,1"
"Hanno usufruito del servizio di borse di studio (%)";"22,7"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"7,7"
"Con Erasmus o altro programma dell'Unione Europea";"5,3"
"Altra esperienza riconosciuta dal corso di studio";"1,6"
"Iniziativa personale";"0,7"
"Non hanno compiuto studi all'estero";"92,1"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"60,6"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"49,5"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"60,5"
