"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"6397"
"Hanno compilato il questionario";"6032"
"Tasso di compilazione";"94,3"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"68,3"
"Donne";"31,7"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"31,5"
"23-24 anni";"33,6"
"25-26 anni";"17,3"
"27 anni e oltre";"17,6"
"Età alla laurea (medie, in anni)";"25,0"
"Cittadini stranieri (%) ";"1,0"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"44,4"
"Altra provincia della stessa regione";"30,9"
"Altra regione";"24,5"
"Estero";"0,2"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"24,7"
"Entrambi con laurea";"7,1"
"Uno solo con laurea";"17,6"
"Nessun genitore laureato";"73,8"
"Diploma di scuola secondaria di secondo grado";"52,0"
"Qualifica professionale, titolo inferiore o nessun titolo";"21,6"
"Classe sociale (%) ";" "
"Classe elevata";"18,7"
"Classe media impiegatizia";"32,8"
"Classe media autonoma";"23,2"
"Classe del lavoro esecutivo";"23,5"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"66,6"
"Liceo classico";"5,7"
"Liceo linguistico";"7,0"
"Liceo scientifico";"44,1"
"Liceo delle scienze umane";"7,7"
"Liceo artistico e musicale e coreutico";"2,2"
"Tecnico";"28,4"
"Tecnico economico";"12,8"
"Tecnico tecnologico";"15,6"
"Professionale";"4,4"
"Titolo estero";"0,5"
"Voto di diploma (medie, in 100-mi) ";"73,7"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"42,6"
"In una provincia limitrofa";"30,7"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"15,1"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"8,3"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,2"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"1,6"
"All'estero";"0,5"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"33,1"
"Portate a termine";"18,1"
"Non portate a termine";"15,0"
"Nessuna precedente esperienza universitaria";"66,6"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"42,5"
"Fattori prevalentemente culturali";"25,6"
"Fattori prevalentemente professionalizzanti";"7,0"
"Né gli uni né gli altri";"24,7"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"71,8"
"2 o più anni di ritardo";"28,2"
"Punteggio degli esami (medie, in 30-mi) ";"25,4"
"Voto di laurea (medie, in 110-mi) ";"100,6"
"Regolarità negli studi (%) ";" "
"In corso";"66,8"
"1° anno fuori corso";"17,6"
"2° anno fuori corso";"6,2"
"3° anno fuori corso";"3,5"
"4° anno fuori corso";"2,0"
"5° anno fuori corso e oltre";"3,8"
"Durata degli studi (medie, in anni) ";"3,7"
"Ritardo alla laurea (medie, in anni) ";"0,9"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,31"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"69,8"
"Meno del 50%";"29,6"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"62,2"
"Tra il 50% e il 75%";"25,8"
"Tra il 25% e il 50%";"7,3"
"Meno del 25%";"4,4"
"Hanno usufruito del servizio di borse di studio (%)";"24,4"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"3,3"
"Con Erasmus o altro programma dell'Unione Europea";"2,6"
"Altra esperienza riconosciuta dal corso di studio";"0,2"
"Iniziativa personale";"0,5"
"Non hanno compiuto studi all'estero";"96,5"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"84,1"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"16,5"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"82,0"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"12,0"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"52,8"
"Attività di lavoro successivamente riconosciute dal corso";"16,0"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"17,7"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"3,2"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"83,2"
"Lavoratori-studenti";"11,3"
"Altre esperienze di lavoro con continuità a tempo pieno";"4,5"
"Lavoro a tempo parziale";"38,9"
"Lavoro occasionale, saltuario, stagionale";"28,5"
"Nessuna esperienza di lavoro";"16,5"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"60,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"35,3"
"Più sì che no";"52,2"
"Più no che sì";"10,5"
"Decisamente no";"1,7"
"Sono soddisfatti dei rapporti con i docenti in generale (%)";" "
"Decisamente sì";"24,0"
"Più sì che no";"62,7"
"Più no che sì";"11,9"
"Decisamente no";"1,0"
"Sono soddisfatti dei rapporti con gli studenti (%)";" "
"Decisamente sì";"57,0"
"Più sì che no";"37,3"
"Più no che sì";"4,5"
"Decisamente no";"0,7"
"Hanno utilizzato le aule (%)";"98,4"
"Valutazione delle aule (per 100 fruitori)";" "
"Sempre o quasi sempre adeguate";"26,4"
