"PROFILO DEI LAUREATI"
"";""
"Numero di laureati";"3574"
"Hanno compilato il questionario";"3396"
"Tasso di compilazione";"95,0"
"1. CARATTERISTICHE ANAGRAFICHE"
"";""
"Genere (%)";" "
"Uomini";"85,7"
"Donne";"14,3"
"Età alla laurea (%) ";" "
"Meno di 23 anni";"38,7"
"23-24 anni";"33,1"
"25-26 anni";"14,2"
"27 anni e oltre";"14,0"
"Età alla laurea (medie, in anni)";"24,6"
"Cittadini stranieri (%) ";"4,2"
"Residenza (%) ";" "
"Stessa provincia della sede degli studi";"51,8"
"Altra provincia della stessa regione";"31,5"
"Altra regione";"16,5"
"Estero";"0,3"
"2. ORIGINE SOCIALE"
"";""
"Titolo di studio dei genitori (%) ";" "
"Almeno un genitore laureato";"24,9"
"Entrambi con laurea";"8,0"
"Uno solo con laurea";"16,9"
"Nessun genitore laureato";"73,3"
"Diploma di scuola secondaria di secondo grado";"49,6"
"Qualifica professionale, titolo inferiore o nessun titolo";"23,5"
"Classe sociale (%) ";" "
"Classe elevata";"15,3"
"Classe media impiegatizia";"33,5"
"Classe media autonoma";"21,3"
"Classe del lavoro esecutivo";"27,7"
"3. STUDI SECONDARI DI SECONDO GRADO"
"";""
"Diploma (%) ";" "
"Liceale";"46,5"
"Liceo classico";"3,0"
"Liceo linguistico";"1,8"
"Liceo scientifico";"39,8"
"Liceo delle scienze umane";"1,1"
"Liceo artistico e musicale e coreutico";"0,7"
"Tecnico";"50,8"
"Tecnico economico";"13,0"
"Tecnico tecnologico";"37,8"
"Professionale";"1,7"
"Titolo estero";"0,9"
"Voto di diploma (medie, in 100-mi) ";"81,3"
"Hanno conseguito il diploma (%) ";" "
"Nella stessa provincia della sede degli studi universitari";"50,2"
"In una provincia limitrofa";"29,4"
"In una provincia non limitrofa, ma nella stessa ripartizione geografica";"11,5"
"Al Sud-Isole, ma si sono laureati al Centro o al Nord";"6,0"
"Al Centro, ma si sono laureati al Nord o al Sud-Isole";"1,6"
"Al Nord, ma si sono laureati al Centro o al Sud-Isole";"0,4"
"All'estero";"1,0"
"4. RIUSCITA NEGLI STUDI UNIVERSITARI"
"";""
"Hanno precedenti esperienze universitarie (%) ";"16,6"
"Portate a termine";"1,6"
"Non portate a termine";"15,0"
"Nessuna precedente esperienza universitaria";"83,2"
"Motivazioni molto importanti nella scelta del corso di laurea (%) ";" "
"Fattori sia culturali sia professionalizzanti";"53,3"
"Fattori prevalentemente culturali";"18,3"
"Fattori prevalentemente professionalizzanti";"13,3"
"Né gli uni né gli altri";"15,0"
"Età all'immatricolazione (%) ";" "
"Regolare o 1 anno di ritardo";"85,1"
"2 o più anni di ritardo";"14,9"
"Punteggio degli esami (medie, in 30-mi) ";"25,0"
"Voto di laurea (medie, in 110-mi) ";"98,5"
"Regolarità negli studi (%) ";" "
"In corso";"48,1"
"1° anno fuori corso";"22,5"
"2° anno fuori corso";"12,3"
"3° anno fuori corso";"6,3"
"4° anno fuori corso";"3,9"
"5° anno fuori corso e oltre";"7,0"
"Durata degli studi (medie, in anni) ";"4,5"
"Ritardo alla laurea (medie, in anni) ";"1,5"
"Indice di ritardo (rapporto fra ritardo e durata normale del corso) ";"0,51"
"5. CONDIZIONI DI STUDIO"
"";""
"Hanno alloggiato a meno di un'ora di viaggio dalla sede degli studi (%)";" "
"Più del 50% della durata degli studi";"73,8"
"Meno del 50%";"25,9"
"Hanno frequentato regolarmente (%)";" "
"Più del 75% degli insegnamenti previsti";"71,3"
"Tra il 50% e il 75%";"18,8"
"Tra il 25% e il 50%";"6,2"
"Meno del 25%";"3,5"
"Hanno usufruito del servizio di borse di studio (%)";"29,2"
"Hanno svolto periodi di studio all'estero nel corso degli studi universitari (%)";"4,1"
"Con Erasmus o altro programma dell'Unione Europea";"3,7"
"Altra esperienza riconosciuta dal corso di studio";"0,2"
"Iniziativa personale";"0,2"
"Non hanno compiuto studi all'estero";"95,8"
"1 o più esami all'estero convalidati (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"92,3"
"Hanno preparato all'estero una parte significativa della tesi (per 100 che hanno svolto esperienze di studio all'estero riconosciute dal corso)";"6,9"
"Hanno svolto tirocini formativi curriculari o lavoro riconosciuti dal corso di laurea (%)";"79,4"
"Tirocini curriculari organizzati dal corso e svolti presso l'università";"38,8"
"Tirocini curriculari organizzati dal corso e svolti al di fuori dell'università";"31,0"
"Attività di lavoro successivamente riconosciute dal corso";"8,1"
"Nessuna esperienza di tirocinio o lavoro riconosciuto";"20,4"
"Tempo impiegato per la tesi/prova finale (medie, in mesi)";"3,2"
"6. LAVORO DURANTE GLI STUDI UNIVERSITARI"
"";""
"Hanno avuto esperienze di lavoro (%) ";"58,0"
"Lavoratori-studenti";"5,7"
"Altre esperienze di lavoro con continuità a tempo pieno";"5,1"
"Lavoro a tempo parziale";"15,4"
"Lavoro occasionale, saltuario, stagionale";"31,8"
"Nessuna esperienza di lavoro";"41,8"
"Lavoro coerente con gli studi (per 100 che hanno avuto esperienze di lavoro)";"34,8"
"7. GIUDIZI SULL'ESPERIENZA UNIVERSITARIA"
"";""
"Sono complessivamente soddisfatti del corso di laurea (%)";" "
"Decisamente sì";"42,5"
"Più sì che no";"49,2"
"Più no che sì";"6,9"
"Decisamente no";"1,0"
