"1. Popolazione analizzata"
"";""
"Numero di laureati";"3222"
"Numero di intervistati";"2372"
"Tasso di risposta sul totale dei laureati ";"73,6"
"Tasso di risposta sui laureati contattabili ";"81,8"
"Genere (%)";" "
"Uomini";"86,2"
"Donne";"13,8"
"Età alla laurea (medie, in anni) ";"24,7"
"Voto di laurea (medie, in 110-mi) ";"98,2"
"Durata degli studi (medie, in anni) ";"4,6"
"Indice di ritardo ";"0,54"
"2a. Formazione di secondo livello"
"";""
"Iscrizione, dopo la laurea di primo livello, ad un altro corso di laurea (%)";" "
"Si sono iscritti ad un corso di laurea di secondo livello ";"56,0"
"Sono attualmente iscritti";"54,8"
"Si sono iscritti ad un corso di laurea di primo livello ";"0,5"
"Sono attualmente iscritti";"0,4"
"Mai iscritti ad un corso di laurea di primo o secondo livello";"43,5"
"Motivi della non iscrizione ad un altro corso di laurea (%)";" "
"Motivi lavorativi ";"69,4"
"Mancanza di un corso nell’area disciplinare di interesse";"2,9"
"Motivi economici";"3,5"
"Non interessati perché intenzionati a frequentare altra formazione post-laurea";"4,4"
"Non interessati per altri motivi";"15,1"
"Motivi personali";"4,0"
"Altro motivo ";"0,6"
"Motivi dell'iscrizione ad un corso di laurea di secondo livello (%) ";" "
"Per migliorare la propria formazione culturale";"46,6"
"Per migliorare le possibilità di trovare lavoro";"25,4"
"Perché è necessaria per trovare lavoro";"7,8"
"Perché hanno cercato lavoro ma non l'hanno trovato";"0,5"
"Per migliorare le condizioni dell'attuale lavoro";"19,9"
"Natura della laurea di secondo livello rispetto alla laurea di primo livello (%)";" "
"Rappresenta il proseguimento 'naturale'";"79,7"
"Rientra nel medesimo settore disciplinare pur non rappresentando il proseguimento 'naturale'";"18,9"
"Rientra in un settore disciplinare diverso";"1,4"
"Stesso ateneo di conseguimento della laurea di primo livello (%)";"75,6"
"Soddisfazione per gli studi di secondo livello intrapresi (medie, scala 1-10)";"8,1"
"2b. Formazione post-laurea"
"";""
"Hanno partecipato ad almeno un'attività di formazione post-laurea (%) ";"29,6"
"Attività di formazione post-laurea: conclusa/in corso (% per attività)";" "
"Collaborazione volontaria";"4,5"
"Tirocinio/praticantato";"2,2"
"Scuola di specializzazione";"0,4"
"Master universitario di primo livello";"2,4"
"Altro tipo di master";"1,8"
"Stage in azienda";"20,2"
"Corso di formazione professionale";"2,3"
"Attività sostenuta da borsa di studio";"2,3"
"3. Condizione occupazionale"
"";""
"Condizione occupazionale e formativa (%) ";" "
"Lavorano e non sono iscritti ad una laurea di secondo livello";"38,2"
"Lavorano e sono iscritti ad una laurea di secondo livello";"12,8"
"Non lavorano e sono iscritti ad una laurea di secondo livello";"42,1"
"Non lavorano, non sono iscritti ad una laurea di secondo livello e non cercano";"3,3"
"Non lavorano, non sono iscritti ad una laurea di secondo livello ma cercano";"3,6"
"Condizione occupazionale (%) ";" "
"Lavorano";"51,0"
"Non lavorano e non cercano";"42,2"
"Non lavorano ma cercano";"6,7"
"Quota che non lavora, non cerca ma è impegnata in un corso universitario/praticantato (%) ";"39,9"
"Esperienze di lavoro post-laurea (%)";" "
"Non lavorano ma hanno lavorato dopo la laurea";"8,8"
"Non hanno mai lavorato dopo la laurea";"40,2"
"Tasso di occupazione ";" "
"Uomini";"54,6"
"Donne";"51,9"
"Totale";"54,2"
"Tasso di disoccupazione ";"6,7"
"4. Ingresso nel mercato del lavoro"
"";""
"Numero di occupati";"1210"
"Occupati: condizione occupazionale alla laurea (%)";" "
"Proseguono il lavoro iniziato prima della laurea";"27,7"
"Non proseguono il lavoro iniziato prima della laurea";"13,3"
"Hanno iniziato a lavorare dopo la laurea";"59,0"
"Occupati: tempi di ingresso nel mercato del lavoro (medie, in mesi) ";" "
"Tempo dalla laurea all'inizio della ricerca del primo lavoro";"0,7"
"Tempo dall'inizio della ricerca al reperimento del primo lavoro";"1,9"
"Tempo dalla laurea al reperimento del primo lavoro";"2,6"
"5. Caratteristiche dell'attuale lavoro"
"";""
"Professione svolta (%) ";" "
"Imprenditori, legislatori e alta dirigenza";"0,8"
"Professioni intellettuali, scientifiche e di elevata specializzazione";"47,6"
"Professioni tecniche";"45,2"
"Professioni esecutive nel lavoro d'ufficio";"2,2"
"Altre professioni ";"4,1"
"Tipologia dell'attività lavorativa (%)";" "
"Autonomo ";"3,5"
"Tempo indeterminato ";"39,0"
"Contratti formativi ";"35,6"
"Non standard ";"16,4"
